,ListingKey,ListingCreationDate,Occupation,BorrowerRate,IncomeRange
46580,32EC33727760193794DD82E,2006-11-09 11:05:47.503000000,Engineer - Mechanical,0.1366,Not displayed
58348,97E03528557203475CC103F,2011-10-10 05:06:37.927000000,Tradesman - Plumber,0.1656,"$50,000-74,999"
88093,A4683420966103631CDD3DD,2008-05-14 18:14:39.887000000,Administrative Assistant,0.2,$0
91433,55A03371348695250FA7F24,2006-10-10 21:23:21.600000000,Other,0.25,Not displayed
31822,342B35921809823949E4C99,2013-10-11 05:28:34.260000000,Pilot - Private/Commercial,0.3134,"$100,000+"
101659,28443547538547376106EF9,2012-05-30 15:59:58.157000000,Skilled Labor,0.1486,"$100,000+"
75917,735535856807073943E3FC0,2013-08-09 17:01:33.563000000,Sales - Commission,0.2859,"$100,000+"
64361,B1E8342235964455109276F,2008-06-07 09:55:06.543000000,Other,0.099,"$25,000-49,999"
108384,20BA3548839217288A2BF34,2012-06-04 13:05:05.073000000,Doctor,0.1768,"$50,000-74,999"
29996,E72F3602719845742629B16,2014-02-15 14:13:57.463000000,Teacher,0.14,"$50,000-74,999"
26595,5AFA3543941291954F4646C,2012-04-01 20:55:47.687000000,Engineer - Electrical,0.1449,"$1-24,999"
52051,1B0D34325305735391B216E,2008-10-08 05:05:23.623000000,Other,0.1665,"$25,000-49,999"
3429,41DC355074122584881097D,2012-06-21 14:46:48.323000000,Other,0.2085,"$50,000-74,999"
107107,13BD3597216227050C56DBF,2013-12-06 07:51:23.460000000,,0.1585,"$25,000-49,999"
87035,245235860930554850D416D,2013-08-05 08:04:00.740000000,Nurse (RN),0.1299,"$75,000-99,999"
100138,41A83380571426224524976,2007-02-10 14:19:49.880000000,Construction,0.18,Not displayed
21049,68AA3411499330348EEFD3A,2008-01-14 23:54:18.230000000,Principal,0.2125,"$50,000-74,999"
39132,4532358499903383565E0DD,2013-07-24 16:56:43.917000000,Executive,0.0999,"$100,000+"
91569,F08A360021587493523D01B,2014-01-13 13:41:37.403000000,Medical Technician,0.2304,"$25,000-49,999"
24083,CBD43508179592050F353C2,2011-02-10 09:53:40.837000000,Executive,0.1299,"$100,000+"
15791,08A635748740861982CF8E5,2013-04-02 13:17:46.083000000,Administrative Assistant,0.3134,"$25,000-49,999"
57217,67923583806323614983BF1,2013-07-08 12:48:30.593000000,Sales - Retail,0.2579,"$25,000-49,999"
987,47BC3484803746881AF1DF6,2010-05-20 11:58:41.287000000,Civil Service,0.135,"$100,000+"
82166,E9D63390090142770CC13BA,2007-05-26 15:54:54.737000000,Analyst,0.1989,"$50,000-74,999"
56959,501C3597648626873DEC7F3,2013-12-30 11:42:12.750000000,Sales - Retail,0.1435,"$1-24,999"
108714,EA183588252376439E45264,2013-09-12 07:59:22.567000000,Other,0.18,"$75,000-99,999"
61864,544C35963163527687340AF,2013-12-04 13:02:36.493000000,Skilled Labor,0.2235,"$25,000-49,999"
6815,00F4338968848503653FBAE,2007-05-10 09:53:04.510000000,Other,0.24,"$1-24,999"
28417,33843375586766025ED6ABA,2006-12-02 11:23:50.050000000,Nurse (RN),0.1395,Not displayed
91117,27863486587131622AF4449,2010-06-25 14:15:23.473000000,Administrative Assistant,0.2725,"$25,000-49,999"
76046,72D13562492844521DC7E76,2012-11-16 05:27:42.127000000,Professional,0.2226,"$100,000+"
45355,DB543423325002107CF27D1,2008-06-04 07:50:16.593000000,Professional,0.11,"$50,000-74,999"
55610,6FDE3538837633121382525,2012-02-17 05:33:41.253000000,Accountant/CPA,0.0565,"$50,000-74,999"
5537,31EB3420605622644C03396,2008-05-19 09:17:27.093000000,Sales - Commission,0.35,"$50,000-74,999"
46067,8CCB35262245529591F0172,2011-09-18 08:22:58.930000000,Other,0.2699,"$25,000-49,999"
90127,A9B53366223814636BEE30E,2006-07-09 22:08:16.120000000,,0.1775,Not displayed
812,46B73585299997091CE37FD,2013-07-23 13:15:19.107000000,Other,0.1299,"$25,000-49,999"
76772,4CDB34225682896458594DA,2008-06-06 22:50:46.990000000,Police Officer/Correction Officer,0.16,"$25,000-49,999"
63091,820C34253907740725BD04C,2008-07-09 14:08:03.547000000,Flight Attendant,0.125,"$25,000-49,999"
27418,316634659729822162254A9,2009-10-20 22:23:18.190000000,Investor,0.277,"$50,000-74,999"
56393,BF4134578519443110ACE23,2009-07-15 14:47:17.843000000,Retail Management,0.094,"$50,000-74,999"
4295,4B6335627754623339B6BD0,2012-11-05 10:13:16.533000000,Administrative Assistant,0.1076,"$50,000-74,999"
74771,87B33382555979516DE4944,2007-03-07 19:24:04.980000000,Other,0.219,"$50,000-74,999"
66150,AFA93380939273943B3A14A,2007-02-11 15:57:02.237000000,Waiter/Waitress,0.28,Not displayed
35561,71643597836528995A3EC31,2013-12-27 09:03:18.973000000,Other,0.1099,"$100,000+"
64741,3CF835946351229901F4ABD,2013-11-25 05:13:12.250000000,Other,0.0716,"$1-24,999"
92970,51233472316070298ED84B6,2009-12-24 04:23:34.337000000,Other,0.175,"$1-24,999"
38245,95AE3404205243833A18B8B,2007-11-09 01:37:07.460000000,Sales - Retail,0.22,"$50,000-74,999"
50283,39683577852743175F5EA0B,2013-05-08 11:35:24.123000000,Professor,0.1899,"$100,000+"
18196,146A3528927014508A890FD,2011-10-11 07:34:38.897000000,Nurse (RN),0.111,"$50,000-74,999"
12630,EF6A3528407734326B34494,2011-10-17 17:56:34.663000000,Professional,0.2205,"$25,000-49,999"
70472,786735957227326267E4A31,2013-12-10 09:37:02.323000000,Other,0.1765,"$50,000-74,999"
42577,B8D93425941858295F7D02E,2008-07-14 13:16:46.390000000,Sales - Retail,0.28,"$1-24,999"
60744,A7273594914559832151E41,2013-11-27 07:07:27.173000000,Professional,0.1274,"$50,000-74,999"
50054,589C3405507103968CF89A0,2007-11-06 13:32:37.193000000,Computer Programmer,0.0978,"$50,000-74,999"
64737,91CC358640632743964F110,2013-08-09 05:13:11.830000000,Other,0.3134,"$25,000-49,999"
74354,E8FD3393400823557325160,2007-06-26 23:37:26.643000000,Other,0.2345,"$25,000-49,999"
66247,3813359369116253620BDAF,2013-11-04 14:08:29.387000000,Other,0.1249,"$75,000-99,999"
103896,E42D35476329578720E6DF8,2012-05-10 12:17:06.663000000,Construction,0.1902,"$25,000-49,999"
74779,39D635539577109281A474A,2012-07-23 19:36:20.160000000,Medical Technician,0.2969,"$25,000-49,999"
104341,8F453550347531369B90759,2012-06-18 08:55:22.767000000,Other,0.3177,"$50,000-74,999"
34647,73A6359159149187636E094,2013-10-23 09:35:29.897000000,Clerical,0.2925,"$25,000-49,999"
110104,6923358743622608145E7DD,2013-08-13 13:50:37.490000000,Accountant/CPA,0.1089,"$50,000-74,999"
59360,C1FE3532060870757E0D457,2011-11-30 21:26:40.980000000,Teacher,0.2561,"$50,000-74,999"
37055,39E733990128115608E917C,2007-09-11 18:42:49.487000000,Clerical,0.23,"$25,000-49,999"
74082,90D5339352802459203D754,2007-07-11 16:43:30.293000000,Teacher,0.24,"$50,000-74,999"
23477,6CA53549050386189105C22,2012-06-14 18:24:56.507000000,Other,0.3177,"$25,000-49,999"
101822,911935280646326113E81EF,2011-09-27 14:31:02.553000000,Accountant/CPA,0.139,"$50,000-74,999"
42260,B7F63585462269966D9B266,2013-07-25 10:22:16.547000000,Construction,0.0924,"$100,000+"
74492,0BA634177582343814714BB,2008-03-27 17:15:05.540000000,Nurse (LPN),0.186,"$25,000-49,999"
67906,875834821187685366F6C86,2010-04-20 10:44:19.260000000,Computer Programmer,0.199,"$50,000-74,999"
40767,7AF535772048799228A6832,2013-05-03 21:06:13.493000000,Professional,0.2346,"$100,000+"
38272,C095336767704945890390A,2006-09-11 15:02:54.057000000,,0.29,Not displayed
105863,10C83582302363951AE7313,2013-07-03 09:28:37.683000000,Other,0.2672,"$25,000-49,999"
101735,28643523123045220013F6F,2011-08-03 11:35:25.770000000,Teacher,0.2499,"$25,000-49,999"
34286,C25E35651451389320041DF,2012-12-05 11:14:30.337000000,Nurse's Aide,0.2859,"$50,000-74,999"
43658,EA463430835330972CD3E1A,2008-09-05 06:20:06.010000000,Civil Service,0.1943,"$100,000+"
63191,84053538211317754D55DA5,2012-01-20 17:40:18.283000000,Other,0.1449,"$25,000-49,999"
33212,006D3366427136881868213,2006-07-07 11:22:48.337000000,,0.2475,Not displayed
97901,801335976824678644B96E4,2014-01-02 03:44:53.313000000,Computer Programmer,0.14,"$100,000+"
45587,36353589705192234899296,2013-09-12 14:41:45.543000000,Sales - Retail,0.2849,"$25,000-49,999"
112105,340736039112305382B83CA,2014-02-20 18:36:33.383000000,Doctor,0.1875,"$50,000-74,999"
65853,7379354858035553141FD67,2012-05-31 06:59:34.223000000,Other,0.1768,"$50,000-74,999"
69546,9969339576067960864AC17,2007-07-30 07:43:55.500000000,Construction,0.23,"$75,000-99,999"
102259,F875341947750018396A672,2008-04-20 11:23:18.737000000,Other,0.0627,"$75,000-99,999"
13026,A38C3523666961693ACE0F5,2011-08-12 08:20:30.460000000,Nurse (RN),0.3199,"$75,000-99,999"
31789,E95B35968066154750A0B51,2013-12-11 13:31:07.970000000,Other,0.197,"$50,000-74,999"
84145,5861337790893631098F080,2006-12-27 07:28:35.423000000,Analyst,0.24,Not displayed
50178,38FB3419189319426C3766E,2008-05-06 08:29:59.263000000,Fireman,0.143,"$50,000-74,999"
47499,1B4E35976831660216EB37C,2013-12-24 09:06:05.103000000,Accountant/CPA,0.1239,"$100,000+"
81283,DF2F3585420479251A17CF3,2013-08-12 19:15:14.053000000,Civil Service,0.2359,"$50,000-74,999"
113481,F6813535768596942033AE4,2012-01-04 16:16:28.030000000,Other,0.3127,"$50,000-74,999"
72920,42893599310696188BDBDD4,2014-01-03 19:14:53.507000000,Other,0.1189,"$50,000-74,999"
80812,56DB3428323051415DB80AC,2008-08-06 06:52:03.937000000,Administrative Assistant,0.2595,"$25,000-49,999"
55089,B79D3596272519632864E38,2013-12-06 09:01:30.147000000,Other,0.1685,"$25,000-49,999"
72707,3CB43596393939966EBBB85,2013-12-07 09:41:04.293000000,Professional,0.15,"$100,000+"
46133,A4393591036093012D9DE73,2013-10-01 19:23:08.293000000,Skilled Labor,0.1199,"$50,000-74,999"
87394,E89B359372931855192EC3B,2013-11-06 12:42:56.607000000,Construction,0.1399,"$75,000-99,999"
11725,17823600472027073949835,2014-01-26 09:10:04.213000000,Analyst,0.0716,"$100,000+"
53992,58373582172131815DCEA42,2013-06-17 14:33:46.880000000,Professional,0.2199,"$25,000-49,999"
15796,08C83590797694437E54E18,2013-10-13 16:51:07.497000000,Construction,0.187,"$100,000+"
84326,593C3591920748883EC69F2,2013-10-13 12:39:49.237000000,Accountant/CPA,0.2379,"$50,000-74,999"
86083,CAC63549890291617F74DB6,2012-06-25 21:56:15.007000000,Food Service,0.3177,"$1-24,999"
51798,A72434269595476827E5910,2008-08-03 21:27:51.800000000,Professional,0.1395,"$25,000-49,999"
109778,D1593416581676169C8B717,2008-03-29 08:49:43.173000000,Food Service,0.155,"$1-24,999"
73170,8C5B3563401953869CDC558,2012-11-07 20:10:56.857000000,Other,0.0814,"$100,000+"
95698,708A350482546398135FCD2,2011-01-20 06:03:08.777000000,Other,0.0849,"$25,000-49,999"
84009,CBBF3603876462556846414,2014-02-18 18:32:24.800000000,Skilled Labor,0.1465,"$50,000-74,999"
33107,36793556989196943615F5B,2012-09-17 18:16:16.630000000,Professional,0.2969,"$1-24,999"
26689,BE6135017924443736F10B6,2010-12-13 12:21:38.527000000,Executive,0.295,"$100,000+"
1447,30893531009702344DF35AA,2011-11-08 09:43:11.810000000,Other,0.1656,"$50,000-74,999"
79640,DA4A3543395615014097773,2012-04-05 20:36:24.947000000,Teacher,0.1845,"$75,000-99,999"
43069,8DE63595161942080E909B5,2013-11-30 01:24:01.990000000,Other,0.162,"$75,000-99,999"
31827,5C0B35904534379217C072A,2013-10-10 09:27:44.373000000,Other,0.1349,"$50,000-74,999"
62240,7A91356680322106747EA35,2013-01-03 10:45:53.460000000,Other,0.2333,"$50,000-74,999"
75289,736B35973953233243EC8E2,2013-12-06 11:45:46.267000000,Other,0.1314,"$25,000-49,999"
8897,9F3635742138675839680B7,2013-04-05 07:01:32.760000000,Construction,0.1334,"$100,000+"
49452,4A0E3364961716510EC550C,2006-05-04 13:50:23.570000000,,0.2075,Not displayed
98911,2F3C34088817156584C04A8,2008-01-08 08:30:00.037000000,Other,0.1124,"$100,000+"
111418,EBA635935829297630C8A77,2013-10-25 06:13:56.813000000,Other,0.2045,"$25,000-49,999"
68035,FAAB33879160336799DCEF4,2007-05-11 08:18:16.593000000,Retail Management,0.168,"$25,000-49,999"
95267,5BA83595326786743A04341,2013-11-19 15:13:37.743000000,Other,0.1349,"$50,000-74,999"
51906,924535997868157428B74CA,2014-01-14 05:21:35.957000000,Computer Programmer,0.2254,"$75,000-99,999"
76112,5CB335867874004871F4B7B,2013-08-21 09:34:14.813000000,Other,0.0699,"$25,000-49,999"
113818,C7243401468131621723CB3,2007-10-13 15:33:57.117000000,Military Enlisted,0.082,"$50,000-74,999"
46843,56903376175545423F064E9,2006-12-10 12:43:58.060000000,Other,0.139,Not displayed
29985,331A3387255301269EA2DD4,2007-04-28 12:36:43.097000000,Student - College Graduate Student,0.0825,"$25,000-49,999"
5334,95A134261955694531BEEF9,2008-07-18 16:04:37.840000000,Engineer - Electrical,0.19,"$25,000-49,999"
58989,FEBC3596153517038B0AD08,2013-11-28 06:45:06.373000000,,0.285,"$50,000-74,999"
16343,001C3551279879185B30911,2012-07-06 12:20:07.063000000,Truck Driver,0.2999,"$1-24,999"
98082,D449342317497885644B6B3,2008-06-03 13:06:12.150000000,Sales - Retail,0.071,"$25,000-49,999"
906,02563583917251585C2CB97,2013-07-11 09:33:48.773000000,Teacher,0.2736,"$50,000-74,999"
108354,F4B03595855038951299427,2013-12-01 08:36:10.733000000,Skilled Labor,0.1039,"$50,000-74,999"
96678,69C43593774383972C857F3,2013-11-14 11:17:52.847000000,Engineer - Electrical,0.1695,"$100,000+"
95261,865D34801759887703A5E5A,2010-03-21 14:33:29.300000000,Teacher,0.2368,"$50,000-74,999"
12153,A18335859733323607F9AF0,2013-07-26 13:53:02.117000000,Analyst,0.1579,"$50,000-74,999"
20158,B4C93587154762868E12D6A,2013-08-25 05:54:25.893000000,Other,0.1334,"$100,000+"
68861,980A33825495236573E8072,2007-03-01 19:44:34.390000000,Civil Service,0.2196,"$25,000-49,999"
44639,3E34356281888195754EE07,2012-11-15 06:32:07.100000000,Other,0.2419,"$25,000-49,999"
75697,C2EA3484240850877DF7B11,2010-05-11 16:11:07.420000000,Other,0.1385,"$1-24,999"
33862,B4B9341403808750419700B,2008-02-24 17:43:19.333000000,Construction,0.097,"$75,000-99,999"
86942,FCE335953234588840B3897,2013-12-03 20:46:54.253000000,Postal Service,0.14,"$50,000-74,999"
12205,19643586535504221FB80BD,2013-08-13 09:46:30.937000000,Analyst,0.1639,"$50,000-74,999"
112238,F34536002206886434B9CE1,2014-01-16 15:59:27.733000000,Professional,0.1039,"$100,000+"
73207,E34B36001766871336E951B,2014-01-07 05:07:48.230000000,Clerical,0.1685,"$1-24,999"
93601,A97835929395677391FDDBB,2013-10-22 17:02:50.813000000,Laborer,0.1099,"$50,000-74,999"
103940,0C9B35962418486871E6BA2,2013-12-11 13:51:28.967000000,Investor,0.1765,"$50,000-74,999"
59853,F47C35890378650124BF274,2013-09-14 06:42:48.743000000,Analyst,0.1915,"$25,000-49,999"
112754,C75F341846188264689853D,2008-04-24 19:26:12.483000000,Other,0.28,"$1-24,999"
16619,B30334193108490365CF450,2008-05-07 14:10:37.933000000,Food Service Management,0.1485,"$25,000-49,999"
37787,6684358401826541648FF6D,2013-07-07 17:50:16.447000000,Teacher,0.1649,"$25,000-49,999"
100593,5F3C3551784496312E8BB27,2012-06-28 13:02:08.070000000,Construction,0.287,"$25,000-49,999"
36657,39423584425072083F8D8CA,2013-07-16 13:16:43.297000000,Tradesman - Mechanic,0.1334,"$50,000-74,999"
80017,1CC6359697428499529D339,2013-12-14 11:11:10.207000000,Truck Driver,0.1795,"$25,000-49,999"
97867,E0FF3405324417653C01FE5,2007-11-21 02:44:59.670000000,Analyst,0.283,"$50,000-74,999"
52240,F4D83593343554260B5DB6C,2013-10-26 13:47:59.943000000,Other,0.2155,"$50,000-74,999"
28166,16273602775335099EC2FB2,2014-02-09 17:26:21.687000000,Engineer - Mechanical,0.0769,"$75,000-99,999"
76554,AD913601891199321775A39,2014-02-14 11:00:55.033000000,Postal Service,0.0769,"$75,000-99,999"
105172,EC7E3531990403009C55F2A,2011-11-17 09:57:48.773000000,Other,0.3199,"$1-24,999"
73771,BF6D35863551611473AC5D9,2013-08-19 11:26:55.223000000,Other,0.1519,"$50,000-74,999"
12388,624935931324623588C354F,2013-10-20 20:18:06.787000000,,0.1695,"$25,000-49,999"
62937,6D0A3594768929341A52844,2013-11-23 20:38:58.800000000,Truck Driver,0.1725,"$50,000-74,999"
94411,C37F337101840984076CC25,2006-10-21 09:42:58.737000000,Homemaker,0.22,Not displayed
39163,BAE5359544856137622C247,2013-12-02 13:37:31,Truck Driver,0.1274,"$25,000-49,999"
106993,D0FC3589931774847840529,2013-09-21 11:25:38.480000000,Analyst,0.2225,"$25,000-49,999"
25857,EE8C3592203391142BFD9C0,2013-10-30 05:53:43.267000000,Teacher,0.187,"$50,000-74,999"
26931,815C342208747912526C244,2008-05-30 14:51:02.670000000,Civil Service,0.21,"$75,000-99,999"
2373,46653594111912948D110E0,2013-11-06 16:17:03.960000000,Construction,0.2225,"$25,000-49,999"
42854,3275356584327839326E6F0,2012-12-28 14:37:19.070000000,Executive,0.1089,"$100,000+"
107800,C8183412957867132E1CEFE,2008-02-18 19:52:26.860000000,Architect,0.1679,"$75,000-99,999"
67379,CFF53544806054100254784,2012-04-23 12:42:18.090000000,Professional,0.2489,"$1-24,999"
84932,576534152023438503B535B,2008-03-13 11:41:53.257000000,Professional,0.155,"$100,000+"
7051,96673536548074791CBB62E,2012-01-22 05:18:22.740000000,Other,0.2484,"$25,000-49,999"
85656,D809358131042150745A550,2013-06-20 20:34:05.353000000,Other,0.0759,"$50,000-74,999"
82047,1F07359301858008704B753,2013-11-02 01:50:00.617000000,Skilled Labor,0.162,"$50,000-74,999"
40391,B44533926260561008230F7,2007-06-20 08:48:31.433000000,Retail Management,0.102,"$50,000-74,999"
20364,42BD3579638687810F607DF,2013-06-05 17:39:26.670000000,Other,0.1269,"$100,000+"
48036,FC393369917951349F80250,2006-09-21 07:43:30.950000000,Administrative Assistant,0.2,Not displayed
64285,D30235991099246051BBA60,2014-01-05 13:42:23.993000000,Analyst,0.1274,"$25,000-49,999"
71403,3C0835066379640936B7A67,2011-01-24 10:45:36.510000000,Computer Programmer,0.0955,"$75,000-99,999"
98087,895C3495731162659AD1EC6,2010-09-23 20:50:26.067000000,Other,0.3435,"$50,000-74,999"
110490,26723514383768968E152D6,2011-05-03 18:39:25.063000000,Other,0.2429,"$25,000-49,999"
96462,8339355567413108438FBDE,2012-08-28 17:00:15.193000000,Engineer - Mechanical,0.0974,"$25,000-49,999"
102582,C8DD35969189199919B47E4,2013-12-20 10:47:24.540000000,Professor,0.2304,"$75,000-99,999"
9060,44A735774348152212E1EBB,2013-05-06 08:41:27.043000000,Civil Service,0.1734,"$75,000-99,999"
72063,4E3C34157404222595AD8EB,2008-03-07 16:14:46.567000000,Other,0.089,"$25,000-49,999"
27687,36553590360904824D94C9F,2013-09-26 13:51:27.603000000,Professional,0.1695,"$75,000-99,999"
2478,27FB3537017905351B0FCBA,2012-01-30 10:57:57.203000000,Other,0.2468,"$50,000-74,999"
112513,D7453556570832801005CDE,2012-08-21 10:26:02.583000000,Accountant/CPA,0.0749,"$25,000-49,999"
107049,8CDE3600425139183E781EE,2014-01-09 18:15:02.783000000,Other,0.201,"$25,000-49,999"
41640,453134210146549716578F3,2008-05-07 11:08:23.817000000,Nurse (RN),0.35,"$50,000-74,999"
79749,6EB333810621944506BE85A,2007-01-28 12:24:38.727000000,Attorney,0.1444,Not displayed
35982,88D63541450214403F812C2,2012-03-13 15:29:17.137000000,Professional,0.1396,"$25,000-49,999"
95390,E67D3564300964156AC33B3,2012-11-27 16:06:13.880000000,Other,0.3177,"$25,000-49,999"
22325,A56C33842011963174A1AA4,2007-03-23 12:02:13.210000000,Accountant/CPA,0.1444,"$25,000-49,999"
59882,C2773464395700905A1620B,2009-09-25 10:31:04.730000000,Chemist,0.35,"$75,000-99,999"
62842,C8553592245130583F6213A,2013-10-06 12:33:53.087000000,Other,0.2999,"$25,000-49,999"
29424,347B3581703712384420CC1,2013-06-07 02:16:10.603000000,Nurse's Aide,0.2099,"$25,000-49,999"
106175,CE033533711849937976767,2011-12-01 11:33:43.907000000,Executive,0.2487,"$75,000-99,999"
108500,F9E03408434754595451370,2007-12-13 11:10:32.670000000,Executive,0.13,"$100,000+"
55294,B7D53382865435120FBCC58,2007-03-02 14:39:11.370000000,Other,0.154,"$25,000-49,999"
70121,D2AC3580080487503A957BF,2013-06-06 03:08:07.633000000,Other,0.2969,"$25,000-49,999"
35412,9E5B3579142682045E5803D,2013-05-20 13:34:58.913000000,Professional,0.1984,"$25,000-49,999"
43783,8CE33600600028047706AC4,2014-01-25 11:54:41.800000000,Student - College Graduate Student,0.1465,"$50,000-74,999"
2453,45E835143031253946382DB,2011-05-12 05:54:04.953000000,Professional,0.1899,"$25,000-49,999"
51476,AF9734160027893382AC1F8,2008-03-09 23:39:15.797000000,Other,0.2175,"$1-24,999"
31155,D19235206776422829B2887,2011-07-18 13:56:26.040000000,Other,0.1329,"$25,000-49,999"
110951,80283510333384884880736,2011-03-16 03:26:08.397000000,Teacher,0.2199,"$25,000-49,999"
97512,FB523594590434401D74E52,2013-11-18 13:04:13.343000000,Nurse's Aide,0.2225,"$25,000-49,999"
86558,5D673431169046081B39688,2008-09-02 19:51:05.433000000,Professor,0.2,"$50,000-74,999"
94430,6DF93364637746646680123,2006-07-24 09:31:52.040000000,Clerical,0.279,Not displayed
70160,6820358373407122785461A,2013-07-19 12:48:37.803000000,Executive,0.1819,"$25,000-49,999"
36718,58143593906983765A53665,2013-10-28 16:58:46.473000000,Construction,0.18,"$25,000-49,999"
68104,89C53528235740875BDE342,2011-09-26 13:34:22.427000000,Retail Management,0.3199,"$25,000-49,999"
7236,2FD93495309116738DC1DCD,2010-09-28 16:39:31.093000000,Postal Service,0.3275,"$50,000-74,999"
25584,615635987594412935808A0,2014-01-10 17:25:27.630000000,Military Enlisted,0.2624,"$50,000-74,999"
82574,BC273412323090946195F1A,2008-02-15 06:06:36.800000000,Fireman,0.11,"$25,000-49,999"
36317,B4EB3534648057405C5CD16,2011-12-20 20:06:19.107000000,Teacher,0.1621,"$25,000-49,999"
15751,5E173414977270881299570,2008-03-12 09:34:27.647000000,Bus Driver,0.35,"$50,000-74,999"
